run_id,backend,y,rule,k,shots,successes,p_hat,a_hat_global,I_hat_global,timestamp_utc
triangulum_y1_midpoint_ks0-1_shots1024_20260309T121842Z,triangulum_nmr,1.0,midpoint,0,1024,519,0.5068359375,0.500683590381209,0.500683590381209,20260309T121842Z
triangulum_y1_midpoint_ks0-1_shots1024_20260309T121842Z,triangulum_nmr,1.0,midpoint,1,1024,512,0.5,0.500683590381209,0.500683590381209,20260309T121842Z
